,emoji,name,group,sub_group,codepoints
3069,🐵,monkey face,Animals & Nature,animal-mammal,1F435
3070,🐒,monkey,Animals & Nature,animal-mammal,1F412
3071,🦍,gorilla,Animals & Nature,animal-mammal,1F98D
3072,🦧,orangutan,Animals & Nature,animal-mammal,1F9A7
3073,🐶,dog face,Animals & Nature,animal-mammal,1F436
3074,🐕,dog,Animals & Nature,animal-mammal,1F415
3075,🦮,guide dog,Animals & Nature,animal-mammal,1F9AE
3076,🐕‍🦺,service dog,Animals & Nature,animal-mammal,1F415 200D 1F9BA
3077,🐩,poodle,Animals & Nature,animal-mammal,1F429
3078,🐺,wolf,Animals & Nature,animal-mammal,1F43A
3079,🦊,fox,Animals & Nature,animal-mammal,1F98A
3080,🦝,raccoon,Animals & Nature,animal-mammal,1F99D
3081,🐱,cat face,Animals & Nature,animal-mammal,1F431
3082,🐈,cat,Animals & Nature,animal-mammal,1F408
3083,🐈‍⬛,black cat,Animals & Nature,animal-mammal,1F408 200D 2B1B
3084,🦁,lion,Animals & Nature,animal-mammal,1F981
3085,🐯,tiger face,Animals & Nature,animal-mammal,1F42F
3086,🐅,tiger,Animals & Nature,animal-mammal,1F405
3087,🐆,leopard,Animals & Nature,animal-mammal,1F406
3088,🐴,horse face,Animals & Nature,animal-mammal,1F434
3089,🐎,horse,Animals & Nature,animal-mammal,1F40E
3090,🦄,unicorn,Animals & Nature,animal-mammal,1F984
3091,🦓,zebra,Animals & Nature,animal-mammal,1F993
3092,🦌,deer,Animals & Nature,animal-mammal,1F98C
3093,🦬,bison,Animals & Nature,animal-mammal,1F9AC
3094,🐮,cow face,Animals & Nature,animal-mammal,1F42E
3095,🐂,ox,Animals & Nature,animal-mammal,1F402
3096,🐃,water buffalo,Animals & Nature,animal-mammal,1F403
3097,🐄,cow,Animals & Nature,animal-mammal,1F404
3098,🐷,pig face,Animals & Nature,animal-mammal,1F437
3099,🐖,pig,Animals & Nature,animal-mammal,1F416
3100,🐗,boar,Animals & Nature,animal-mammal,1F417
3101,🐽,pig nose,Animals & Nature,animal-mammal,1F43D
3102,🐏,ram,Animals & Nature,animal-mammal,1F40F
3103,🐑,ewe,Animals & Nature,animal-mammal,1F411
