,emoji,name,group,sub_group,codepoints
3347,🌍,globe showing Europe-Africa,Travel & Places,place-map,1F30D
3348,🌎,globe showing Americas,Travel & Places,place-map,1F30E
3349,🌏,globe showing Asia-Australia,Travel & Places,place-map,1F30F
3350,🌐,globe with meridians,Travel & Places,place-map,1F310
3351,🗺️,world map,Travel & Places,place-map,1F5FA FE0F
3352,🗺,world map,Travel & Places,place-map,1F5FA
3353,🗾,map of Japan,Travel & Places,place-map,1F5FE
3354,🧭,compass,Travel & Places,place-map,1F9ED
3355,🏔️,snow-capped mountain,Travel & Places,place-geographic,1F3D4 FE0F
3356,🏔,snow-capped mountain,Travel & Places,place-geographic,1F3D4
3357,⛰️,mountain,Travel & Places,place-geographic,26F0 FE0F
3358,⛰,mountain,Travel & Places,place-geographic,26F0
3359,🌋,volcano,Travel & Places,place-geographic,1F30B
3360,🗻,mount fuji,Travel & Places,place-geographic,1F5FB
3361,🏕️,camping,Travel & Places,place-geographic,1F3D5 FE0F
3362,🏕,camping,Travel & Places,place-geographic,1F3D5
3363,🏖️,beach with umbrella,Travel & Places,place-geographic,1F3D6 FE0F
3364,🏖,beach with umbrella,Travel & Places,place-geographic,1F3D6
3365,🏜️,desert,Travel & Places,place-geographic,1F3DC FE0F
3366,🏜,desert,Travel & Places,place-geographic,1F3DC
3367,🏝️,desert island,Travel & Places,place-geographic,1F3DD FE0F
3368,🏝,desert island,Travel & Places,place-geographic,1F3DD
3369,🏞️,national park,Travel & Places,place-geographic,1F3DE FE0F
3370,🏞,national park,Travel & Places,place-geographic,1F3DE
3371,🏟️,stadium,Travel & Places,place-building,1F3DF FE0F
3372,🏟,stadium,Travel & Places,place-building,1F3DF
3373,🏛️,classical building,Travel & Places,place-building,1F3DB FE0F
3374,🏛,classical building,Travel & Places,place-building,1F3DB
3375,🏗️,building construction,Travel & Places,place-building,1F3D7 FE0F
3376,🏗,building construction,Travel & Places,place-building,1F3D7
3377,🧱,brick,Travel & Places,place-building,1F9F1
3378,🪨,rock,Travel & Places,place-building,1FAA8
3379,🪵,wood,Travel & Places,place-building,1FAB5
3380,🛖,hut,Travel & Places,place-building,1F6D6
3381,🏘️,houses,Travel & Places,place-building,1F3D8 FE0F
3382,🏘,houses,Travel & Places,place-building,1F3D8
3383,🏚️,derelict house,Travel & Places,place-building,1F3DA FE0F
3384,🏚,derelict house,Travel & Places,place-building,1F3DA
3385,🏠,house,Travel & Places,place-building,1F3E0
3386,🏡,house with garden,Travel & Places,place-building,1F3E1
3387,🏢,office building,Travel & Places,place-building,1F3E2
3388,🏣,Japanese post office,Travel & Places,place-building,1F3E3
3389,🏤,post office,Travel & Places,place-building,1F3E4
3390,🏥,hospital,Travel & Places,place-building,1F3E5
3391,🏦,bank,Travel & Places,place-building,1F3E6
3392,🏨,hotel,Travel & Places,place-building,1F3E8
3393,🏩,love hotel,Travel & Places,place-building,1F3E9
3394,🏪,convenience store,Travel & Places,place-building,1F3EA
3395,🏫,school,Travel & Places,place-building,1F3EB
3396,🏬,department store,Travel & Places,place-building,1F3EC
3397,🏭,factory,Travel & Places,place-building,1F3ED
3398,🏯,Japanese castle,Travel & Places,place-building,1F3EF
3399,🏰,castle,Travel & Places,place-building,1F3F0
3400,💒,wedding,Travel & Places,place-building,1F492
3401,🗼,Tokyo tower,Travel & Places,place-building,1F5FC
3402,🗽,Statue of Liberty,Travel & Places,place-building,1F5FD
3403,⛪,church,Travel & Places,place-religious,26EA
3404,🕌,mosque,Travel & Places,place-religious,1F54C
3405,🛕,hindu temple,Travel & Places,place-religious,1F6D5
3406,🕍,synagogue,Travel & Places,place-religious,1F54D
3407,⛩️,shinto shrine,Travel & Places,place-religious,26E9 FE0F
3408,⛩,shinto shrine,Travel & Places,place-religious,26E9
3409,🕋,kaaba,Travel & Places,place-religious,1F54B
3410,⛲,fountain,Travel & Places,place-other,26F2
3411,⛺,tent,Travel & Places,place-other,26FA
3412,🌁,foggy,Travel & Places,place-other,1F301
3413,🌃,night with stars,Travel & Places,place-other,1F303
3414,🏙️,cityscape,Travel & Places,place-other,1F3D9 FE0F
3415,🏙,cityscape,Travel & Places,place-other,1F3D9
3416,🌄,sunrise over mountains,Travel & Places,place-other,1F304
3417,🌅,sunrise,Travel & Places,place-other,1F305
3418,🌆,cityscape at dusk,Travel & Places,place-other,1F306
3419,🌇,sunset,Travel & Places,place-other,1F307
3420,🌉,bridge at night,Travel & Places,place-other,1F309
3421,♨️,hot springs,Travel & Places,place-other,2668 FE0F
3422,♨,hot springs,Travel & Places,place-other,2668
3423,🎠,carousel horse,Travel & Places,place-other,1F3A0
3424,🎡,ferris wheel,Travel & Places,place-other,1F3A1
3425,🎢,roller coaster,Travel & Places,place-other,1F3A2
3426,💈,barber pole,Travel & Places,place-other,1F488
3427,🎪,circus tent,Travel & Places,place-other,1F3AA
